"","RETAILER","VOLUME","DISP","PRICE"
"1101","HARTFORD - STOP & SHOP",1204,0,3.358804
"1102","JACKSONVILLE,FL - PUBLIX",1947,0.094,2.495121
"1103","JACKSONVILLE,FL - WINN DIXIE",3227,0,2.435389
"1104","JACKSONVILLE,FL - FOOD LION",1390,0.212666667,2.528058
"1105","LOUISVILLE - KROGER CO",2576,0.059,2.702252
"1106","LOUISVILLE - WINN DIXIE",1671,0.224,2.600838
"1107","RICHMOND/NORFOLK - FOOD LION",7152,0.040607922,2.479167
"1108","RICHMOND/NORFOLK - NEW FARM FRESH",2009,0,2.605276
"1109","COLUMBUS,OH - BIG BEAR",1337,0.0595,3.442782
"1110","COLUMBUS,OH - KROGER CO",2389,0,3.399749
"1111","LITTLE ROCK - HARVEST FOODS",1593,0,2.92467
"1112","WICHITA - DILLON COMPANIES",1507,0.318,3.071002
"1113","SOUTH CAROLINA - BI LO",7439,0.359,2.386746
"1114","SOUTH CAROLINA - FOOD LION",3611,0.066031522,2.469953
"1115","SOUTH CAROLINA - WINN DIXIE",3321,0,2.386329
"1116","ORLANDO,FL - PUBLIX",5842,0.040061633,2.457549
"1117","ORLANDO,FL - WINN DIXIE",4629,0.211957367,2.521495
"1118","ORLANDO,FL - FOOD LION",1089,0.043,2.496786
"1119","SYRACUSE - P & C FOOD MARKE",444,0.141,3.290541
"1120","SYRACUSE - PRICE CHOPPER",482,0,2.788382
"1121","SYRACUSE - WEGMANS",810,0.413,3.475309
"1122","NEW ENGLAND (NORTH) - SHOP N SAVE",7445,0.384,1.986702
"1123","SAN ANT/CORPUS CHR - H E BUTT",14422,0.139,3.216614
"1124","BIRMINGHAM/MONTGOM - BRUNOS",9255,0.243745712,2.320908
"1125","BIRMINGHAM/MONTGOM - KROGER",1407,0.491,2.624733
"1126","BIRMINGHAM/MONTGOM - WINN DIXIE",4756,0.013182639,2.323381
"1127","HARRISBURG/SCRANTN - GIANT FOOD STO",1113,0.12,2.652291
"1128","NEW YORK (NEW) - A & P",2673,0,4.396932
"1129","NEW YORK (NEW) - PATHMARK",2707,0,4.387883
"1130","NEW YORK (NEW) - WALDBAUMS",1311,0,4.427918
"1131","ROANOKE (NEW) - FOOD LION",2848,0.051776838,2.538272
"1132","ROANOKE (NEW) - KROGER CO",4361,0.025742159,2.455859
"1133","LOS ANGELES - LUCKY",10733,0.073,3.110593
"1134","LOS ANGELES - RALPHS",11418,0.024076702,2.520056
"1135","LOS ANGELES - VONS",5170,0,3.679304
"1136","CHICAGO - DOMINICK",21729,0.438,2.386672
"1137","CHICAGO - JEWEL",12673,0,3.231595
"1138","CHICAGO - OMNI",25996,0.651,1.706686
"1139","HOUSTON - KROGER CO",7553,0,2.485767
"1140","HOUSTON - RANDALLS",3220,0,3.628571
"1141","PITTSBURGH - GIANT EAGLE",2680,0,2.302239
"1142","DETROIT - FARMER JACKS",3355,0.024290516,3.26468
"1143","DETROIT - KROGER CO",4530,0,2.725828
"1144","CLEVELAND - STOP N SHOP",4000,0.183995207,2.50975
"1145","ST. LOUIS - NATIONAL SUPER",2009,0.112,3.407168
"1146","ST. LOUIS - SCHNUCK MARKETS",5482,0.034005464,3.153046
"1147","DALLAS/FT. WORTH - ALBERTSONS",3348,0,2.653226
"1148","DALLAS/FT. WORTH - KROGER CO",2623,0,3.729699
"1149","DALLAS/FT. WORTH - TOM THUMB",2241,0.0835,3.319946
"1150","DALLAS/FT. WORTH - WINN DIXIE",1826,0.250276873,2.654436
"1151","BOSTON - SHAWS",2598,0,2.450731
"1152","BOSTON - STAR MARKET",524,0,3.124046
"1153","BOSTON - STOP & SHOP",7764,0,2
"1154","SAN FRANCISCO - LUCKY",5553,0.094666667,3.709346
"1155","TAMPA/ST. PETE - KASH N KARRY",4014,0,2.618087
"1156","TAMPA/ST. PETE - PUBLIX",6735,0.007497298,2.486711
"1157","TAMPA/ST. PETE - WINN DIXIE",4990,0,2.581363
"1158","DENVER - KING SOOPERS INC",8202,0.028,2.678249
"1159","PHILADELPHIA - ACME MARKET",32358,0.157,1.986649
"1160","ATLANTA - KROGER CO",3749,0.037809707,3.177914
"1161","ATLANTA - WINN DIXIE",2539,0,2.70382
"1162","CINCINNATI - KROGER CO",4257,0.337,3.01245
"1163","INDIANAPOLIS - KROGER CO",3658,0.241,2.653362
"1164","OKLAHOMA CITY - HOMELAND",2510,0.117287469,2.395219
"1165","SACRAMENTO - RALEYS",1395,0.173,3.853047
"1166","SAN DIEGO - LUCKY",4619,0.218,3.219312
"1167","SAN DIEGO - RALPHS",4013,0.33,2.52006
"1168","SALT LAKE CITY - SMITHS FOOD",1276,0.762,3.054075
"1169","PHOENIX - SAFEWAY",1036,0.442,3.585907
"1170","PHOENIX - FRY'S FOOD STORE",1614,0,3.587361
"1171","PHOENIX - SMITHS FOOD",1012,0.413,2.520751
"1172","MIAMI - PUBLIX",10289,0.003935456,2.391583
"1173","MIAMI - WINN DIXIE",8358,0,2.520101
"1174","NASHVILLE - KROGER CO",4561,0.4,1.999781
"1175","RALEIGH/GREENSBORO - WINN DIXIE",2798,0.041255419,2.462473
"1176","RALEIGH/GREENSBORO - FOOD LION",5002,0.079003039,2.520592
"1177","ALBANY,NY - PRICE CHOPPER",1417,0,2.821454
"1178","BALTI/WASH - GIANT FOOD INC",3596,0,3.784205
"1179","BALTI/WASH - SAFEWAY",4271,0.075,4.119878
"1180","BALTI/WASH - SUPER FRESH",878,0,3.919134
"1181","MILWAUKEE - KOHLS FOOD STORE",1764,0,3.028345
"1182","NEW ORLEANS - WINN DIXIE",2988,0,2.9334
"1183","BUFFALO/ROCHESTER - TOPS MARKETS",19890,0.1975,2.24002
"1184","BUFFALO/ROCHESTER - WEGMANS",51112,0.410333333,1.720027
"1185","CHARLOTTE - BI LO",1573,0,2.387158
"1186","CHARLOTTE - HARRIS TEETER",1757,0,2.487194
"1187","CHARLOTTE - WINN DIXIE",2808,0.073367047,2.332977
"1188","CHARLOTTE - FOOD LION",4015,0.013269231,2.485679
"1189","HARTFORD - STOP & SHOP",12537,0,2
"1190","JACKSONVILLE,FL - PUBLIX",1916,0.043,2.525574
"1191","JACKSONVILLE,FL - WINN DIXIE",2999,0,2.434145
"1192","JACKSONVILLE,FL - FOOD LION",1446,0.157333333,2.53112
"1193","LOUISVILLE - KROGER CO",2231,0.106991255,2.717167
"1194","LOUISVILLE - WINN DIXIE",1707,0.224,2.600469
"1195","RICHMOND/NORFOLK - FOOD LION",6452,0.056081456,2.467762
"1196","RICHMOND/NORFOLK - NEW FARM FRESH",2152,0,2.607807
"1197","COLUMBUS,OH - BIG BEAR",2076,0,2.707611
"1198","COLUMBUS,OH - KROGER CO",10323,0.094127846,2.21331
"1199","LITTLE ROCK - HARVEST FOODS",1432,0,2.927374
"1200","WICHITA - DILLON COMPANIES",1570,0.264,3.066242
"1201","SOUTH CAROLINA - BI LO",6182,0.359,2.386606
"1202","SOUTH CAROLINA - FOOD LION",3332,0,2.508103
"1203","SOUTH CAROLINA - WINN DIXIE",3205,0.234,2.386271
"1204","ORLANDO,FL - PUBLIX",5799,0.004196104,2.44956
"1205","ORLANDO,FL - WINN DIXIE",4093,0.147193396,2.529196
"1206","ORLANDO,FL - FOOD LION",1002,0.046269727,2.48004
"1207","SYRACUSE - P & C FOOD MARKE",469,0.324,3.336887
"1208","SYRACUSE - PRICE CHOPPER",1221,0.227,2.637183
"1209","SYRACUSE - WEGMANS",13211,0.537333333,1.71993
"1210","NEW ENGLAND (NORTH) - SHOP N SAVE",5105,0.581,2.048188
"1211","SAN ANT/CORPUS CHR - H E BUTT",14890,0.162,3.011484
"1212","BIRMINGHAM/MONTGOM - BRUNOS",8693,0.162178082,2.347866
"1213","BIRMINGHAM/MONTGOM - KROGER",2083,0.043007299,2.024964
"1214","BIRMINGHAM/MONTGOM - WINN DIXIE",4350,0.010039632,2.33931
"1215","HARRISBURG/SCRANTN - GIANT FOOD STO",1065,0.12,2.678873
"1216","NEW YORK (NEW) - A & P",3109,0,3.780637
"1217","NEW YORK (NEW) - PATHMARK",2223,0.024938697,4.386415
"1218","NEW YORK (NEW) - WALDBAUMS",1411,0,4.437279
"1219","ROANOKE (NEW) - FOOD LION",3115,0.037793427,2.493419
"1220","ROANOKE (NEW) - KROGER CO",5319,0.07281779,2.475089
"1221","LOS ANGELES - LUCKY",10227,0.0415,3.129266
"1222","LOS ANGELES - RALPHS",6091,0.584,3.052865
"1223","LOS ANGELES - VONS",5661,0,3.66384
"1224","CHICAGO - DOMINICK",5009,0.148,3.217009
"1225","CHICAGO - JEWEL",26418,0.108997871,2.386668
"1226","CHICAGO - OMNI",3070,0,2.445277
"1227","HOUSTON - KROGER CO",7923,0,2.475199
"1228","HOUSTON - RANDALLS",3161,0,3.635558
"1229","PITTSBURGH - GIANT EAGLE",2525,0,2.257426
"1230","DETROIT - FARMER JACKS",2791,0,3.297026
"1231","DETROIT - KROGER CO",4370,0,2.731121
"1232","CLEVELAND - STOP N SHOP",3379,0.060488458,2.576798
"1233","ST. LOUIS - NATIONAL SUPER",9362,0.865,2.700171
"1234","ST. LOUIS - SCHNUCK MARKETS",8639,0.018118397,2.653316
"1235","DALLAS/FT. WORTH - ALBERTSONS",3683,0,2.653543
"1236","DALLAS/FT. WORTH - KROGER CO",1979,0,3.731177
"1237","DALLAS/FT. WORTH - TOM THUMB",2373,0,3.319005
"1238","DALLAS/FT. WORTH - WINN DIXIE",2043,0.075035008,2.653451
"1239","BOSTON - SHAWS",2700,0,2.445556
"1240","BOSTON - STAR MARKET",548,0,3.120438
"1241","BOSTON - STOP & SHOP",1626,0,2.568266
"1242","SAN FRANCISCO - LUCKY",9882,0.223333333,2.825845
"1243","TAMPA/ST. PETE - KASH N KARRY",3966,0,2.614221
"1244","TAMPA/ST. PETE - PUBLIX",5493,0.020497244,2.607683
"1245","TAMPA/ST. PETE - WINN DIXIE",5134,0.014601139,2.537203
"1246","DENVER - KING SOOPERS INC",4260,0.0275,3.476761
"1247","PHILADELPHIA - ACME MARKET",2559,0.067,3.702618
"1248","ATLANTA - KROGER CO",4040,0.038414414,3.15
"1249","ATLANTA - WINN DIXIE",2637,0,2.691695
"1250","CINCINNATI - KROGER CO",4067,0.337,3.008114
"1251","INDIANAPOLIS - KROGER CO",3402,0.238,2.652851
"1252","OKLAHOMA CITY - HOMELAND",1934,0.041912938,2.521717
"1253","SACRAMENTO - RALEYS",1114,0.173,3.852783
"1254","SAN DIEGO - LUCKY",4135,0.2,3.263362
"1255","SAN DIEGO - RALPHS",2164,0.65,3.053604
"1256","SALT LAKE CITY - SMITHS FOOD",1165,0.438,2.638627
"1257","PHOENIX - SAFEWAY",1878,0.363,2.653887
"1258","PHOENIX - FRY'S FOOD STORE",1801,0,3.587451
"1259","PHOENIX - SMITHS FOOD",1935,0.235,3.186563
"1260","MIAMI - PUBLIX",10279,0.012280237,2.394688
"1261","MIAMI - WINN DIXIE",8542,0,2.502458
"1262","NASHVILLE - KROGER CO",4412,0.466,2.047597
"1263","RALEIGH/GREENSBORO - WINN DIXIE",2692,0.06008165,2.446508
"1264","RALEIGH/GREENSBORO - FOOD LION",4972,0.087870419,2.54827
"1265","ALBANY,NY - PRICE CHOPPER",608,0,3.029605
"1266","BALTI/WASH - GIANT FOOD INC",3556,0,3.79162
"1267","BALTI/WASH - SAFEWAY",3575,0.075,4.12
"1268","BALTI/WASH - SUPER FRESH",830,0,3.836145
"1269","MILWAUKEE - KOHLS FOOD STORE",3592,0.054,3.021993
"1270","NEW ORLEANS - WINN DIXIE",2693,0,2.965837
"1271","BUFFALO/ROCHESTER - TOPS MARKETS",2246,0.1285,3.240427
"1272","BUFFALO/ROCHESTER - WEGMANS",7697,0.240666667,2.653371
"1273","CHARLOTTE - BI LO",1587,0.177,2.387524
"1274","CHARLOTTE - HARRIS TEETER",1457,0,2.47083
"1275","CHARLOTTE - WINN DIXIE",2601,0.398,2.332949
"1276","CHARLOTTE - FOOD LION",3967,0.004414186,2.441896
"1277","HARTFORD - STOP & SHOP",1167,0,3.358183
"1278","JACKSONVILLE,FL - PUBLIX",1970,0.043,2.503046
"1279","JACKSONVILLE,FL - WINN DIXIE",2930,0,2.44744
"1280","JACKSONVILLE,FL - FOOD LION",1201,0.130446188,2.461282
"1281","LOUISVILLE - KROGER CO",1910,0.106402256,2.691099
"1282","LOUISVILLE - WINN DIXIE",2161,0.371,2.570106
"1283","RICHMOND/NORFOLK - FOOD LION",4424,0.045055959,2.469485
"1284","RICHMOND/NORFOLK - NEW FARM FRESH",2159,0,2.562297
"1285","COLUMBUS,OH - BIG BEAR",2037,0,2.778596
"1286","COLUMBUS,OH - KROGER CO",3771,0.042139351,3.166269
"1287","LITTLE ROCK - HARVEST FOODS",1491,0,2.853789
"1288","WICHITA - DILLON COMPANIES",1428,0.232,3.067227
"1289","SOUTH CAROLINA - BI LO",6539,0.393,2.386603
"1290","SOUTH CAROLINA - FOOD LION",3378,0,2.478982
"1291","SOUTH CAROLINA - WINN DIXIE",2670,0.233,2.386891
"1292","ORLANDO,FL - PUBLIX",5553,0.004294383,2.441923
"1293","ORLANDO,FL - WINN DIXIE",4181,0.118365281,2.572351
"1294","ORLANDO,FL - FOOD LION",976,0.041365136,2.484631
"1295","SYRACUSE - P & C FOOD MARKE",482,0.184,3.288382
"1296","SYRACUSE - PRICE CHOPPER",459,0.0775,2.736383
"1297","SYRACUSE - WEGMANS",2433,0.246854215,2.458282
"1298","NEW ENGLAND (NORTH) - SHOP N SAVE",8374,0.56,1.986506
"1299","SAN ANT/CORPUS CHR - H E BUTT",12441,0.173,3.053372
"1300","BIRMINGHAM/MONTGOM - BRUNOS",9217,0.162508868,2.33167
"1301","BIRMINGHAM/MONTGOM - KROGER",2156,0.279,2.017625
"1302","BIRMINGHAM/MONTGOM - WINN DIXIE",3948,0.009942765,2.349797
"1303","HARRISBURG/SCRANTN - GIANT FOOD STO",1121,0.12,2.656557
"1304","NEW YORK (NEW) - A & P",5554,0,2.687252
"1305","NEW YORK (NEW) - PATHMARK",2263,0.061518171,4.386655
"1306","NEW YORK (NEW) - WALDBAUMS",1235,0,4.431579
"1307","ROANOKE (NEW) - FOOD LION",2900,0.079518877,2.452069
"1308","ROANOKE (NEW) - KROGER CO",4209,0.026129794,2.469708
"1309","LOS ANGELES - LUCKY",12977,0.0845,2.914849
"1310","LOS ANGELES - RALPHS",5933,0.529,3.053093
"1311","LOS ANGELES - VONS",5680,0,3.74912
"1312","CHICAGO - DOMINICK",5690,0.148,3.257118
"1313","CHICAGO - JEWEL",31314,0.113766319,2.400172
"1314","CHICAGO - OMNI",3193,0,2.720326
"1315","HOUSTON - KROGER CO",9606,0,2.486883
"1316","HOUSTON - RANDALLS",2756,0,3.647315
"1317","PITTSBURGH - GIANT EAGLE",3873,0.014126761,2.241673
"1318","DETROIT - FARMER JACKS",2881,0,3.331829
"1319","DETROIT - KROGER CO",5280,0,2.714394
"1320","CLEVELAND - STOP N SHOP",4112,0.035229369,2.64251
"1321","ST. LOUIS - NATIONAL SUPER",4278,0.112,3.255493
"1322","ST. LOUIS - SCHNUCK MARKETS",9540,0.011121673,2.653354
"1323","DALLAS/FT. WORTH - ALBERTSONS",3885,0,3.130759
"1324","DALLAS/FT. WORTH - KROGER CO",2588,0,2.653014
"1325","DALLAS/FT. WORTH - TOM THUMB",2396,0,3.74374
"1326","DALLAS/FT. WORTH - WINN DIXIE",2174,0.01306066,2.50644
"1327","BOSTON - SHAWS",2881,0,2.454009
"1328","BOSTON - STAR MARKET",652,0,3.116564
"1329","BOSTON - STOP & SHOP",1834,0,2.583424
"1330","SAN FRANCISCO - LUCKY",12646,0.163666667,2.811007
"1331","TAMPA/ST. PETE - KASH N KARRY",4566,0,2.679369
"1332","TAMPA/ST. PETE - PUBLIX",4878,0.01970982,2.746207
"1333","TAMPA/ST. PETE - WINN DIXIE",5178,0,2.670722
"1334","DENVER - KING SOOPERS INC",3671,0.027,3.57532
"1335","PHILADELPHIA - ACME MARKET",3048,0,3.712598
"1336","ATLANTA - KROGER CO",4126,0.036065757,3.148085
"1337","ATLANTA - WINN DIXIE",2739,0,2.705367
"1338","CINCINNATI - KROGER CO",3910,0.241,3.028645
"1339","INDIANAPOLIS - KROGER CO",3732,0.238,2.653001
"1340","OKLAHOMA CITY - HOMELAND",1493,0.053114616,2.840589
"1341","SACRAMENTO - RALEYS",1535,0.173,3.852769
"1342","SAN DIEGO - LUCKY",6540,0.2755,2.975076
"1343","SAN DIEGO - RALPHS",1928,0.456,3.053423
"1344","SALT LAKE CITY - SMITHS FOOD",2462,0.469,2.520309
"1345","PHOENIX - SAFEWAY",2711,0.363,2.653264
"1346","PHOENIX - FRY'S FOOD STORE",4193,0,2.586692
"1347","PHOENIX - SMITHS FOOD",2696,0.412,3.186573
"1348","MIAMI - PUBLIX",8141,0.026555186,2.5546
"1349","MIAMI - WINN DIXIE",8412,0,2.531978
"1350","NASHVILLE - KROGER CO",4557,0.319,2.012728
"1351","RALEIGH/GREENSBORO - WINN DIXIE",2816,0.049374331,2.432528
"1352","RALEIGH/GREENSBORO - FOOD LION",4994,0.153515113,2.517221
"1353","ALBANY,NY - PRICE CHOPPER",665,0,3.027068
"1354","BALTI/WASH - GIANT FOOD INC",4343,0,3.760074
"1355","BALTI/WASH - SAFEWAY",3336,0,4.119604
"1356","BALTI/WASH - SUPER FRESH",941,0,3.899044
"1357","MILWAUKEE - KOHLS FOOD STORE",1544,0,3.040155
"1358","NEW ORLEANS - WINN DIXIE",3457,0,2.868962
"1359","BUFFALO/ROCHESTER - TOPS MARKETS",2432,0.1285,3.233964
"1360","BUFFALO/ROCHESTER - WEGMANS",2185,0.148666667,3.347826
"1361","CHARLOTTE - BI LO",1766,0.311,2.386183
"1362","CHARLOTTE - HARRIS TEETER",1556,0,2.506427
"1363","CHARLOTTE - WINN DIXIE",2558,0.083126582,2.333855
"1364","CHARLOTTE - FOOD LION",4626,0,2.429745
"1365","HARTFORD - STOP & SHOP",1352,0,3.352071
"1366","JACKSONVILLE,FL - PUBLIX",1836,0.014910299,2.540305
"1367","JACKSONVILLE,FL - WINN DIXIE",3307,0,2.437557
"1368","JACKSONVILLE,FL - FOOD LION",1368,0.188666667,2.472222
"1369","LOUISVILLE - KROGER CO",2411,0.052020198,2.710079
"1370","LOUISVILLE - WINN DIXIE",1857,0.371,2.534195
"1371","RICHMOND/NORFOLK - FOOD LION",5050,0.044806147,2.503762
"1372","RICHMOND/NORFOLK - NEW FARM FRESH",2186,0,2.571363
"1373","COLUMBUS,OH - BIG BEAR",2154,0.0595,2.734912
"1374","COLUMBUS,OH - KROGER CO",2318,0.14,3.186368
"1375","LITTLE ROCK - HARVEST FOODS",1840,0.027033636,2.775543
"1376","WICHITA - DILLON COMPANIES",1179,0.013483066,3.066158
"1377","SOUTH CAROLINA - BI LO",7237,0.5,2.386762
"1378","SOUTH CAROLINA - FOOD LION",4062,0,2.45741
"1379","SOUTH CAROLINA - WINN DIXIE",2451,0,2.386781
"1380","ORLANDO,FL - PUBLIX",4620,0.007199038,2.457359
"1381","ORLANDO,FL - WINN DIXIE",4484,0.120741497,2.595897
"1382","ORLANDO,FL - FOOD LION",1092,0.038280488,2.492674
"1383","SYRACUSE - P & C FOOD MARKE",543,0,3.313076
"1384","SYRACUSE - PRICE CHOPPER",531,0.0775,2.868173
"1385","SYRACUSE - WEGMANS",675,0.323333333,3.453333
"1386","NEW ENGLAND (NORTH) - SHOP N SAVE",8222,0.56,1.986865
"1387","SAN ANT/CORPUS CHR - H E BUTT",12485,0.117,3.079616
"1388","BIRMINGHAM/MONTGOM - BRUNOS",10690,0.287202635,2.34275
"1389","BIRMINGHAM/MONTGOM - KROGER",1981,0,2.047451
"1390","BIRMINGHAM/MONTGOM - WINN DIXIE",4645,0.009947313,2.352207
"1391","HARRISBURG/SCRANTN - GIANT FOOD STO",1007,0.3625,3.126117
"1392","NEW YORK (NEW) - A & P",11952,0,2.682062
"1393","NEW YORK (NEW) - PATHMARK",31639,0.127762854,3.540535
"1394","NEW YORK (NEW) - WALDBAUMS",1375,0,4.413818
"1395","ROANOKE (NEW) - FOOD LION",3021,0.033587188,2.473353
"1396","ROANOKE (NEW) - KROGER CO",4298,0.028229628,2.503025
"1397","LOS ANGELES - LUCKY",14662,0.0845,2.901173
"1398","LOS ANGELES - RALPHS",6794,0.578,3.053577
"1399","LOS ANGELES - VONS",5607,0,3.760656
"1400","CHICAGO - DOMINICK",5377,0.148,3.258322
"1401","CHICAGO - JEWEL",12630,0,3.106413
"1402","CHICAGO - OMNI",2866,0,2.729588
"1403","HOUSTON - KROGER CO",14127,0.07900551,2.430452
"1404","HOUSTON - RANDALLS",2900,0,3.661724
"1405","PITTSBURGH - GIANT EAGLE",2888,0.01551768,2.254155
"1406","DETROIT - FARMER JACKS",2747,0,3.254823
"1407","DETROIT - KROGER CO",3998,0,2.74012
"1408","CLEVELAND - STOP N SHOP",2448,0.093170304,2.876634
"1409","ST. LOUIS - NATIONAL SUPER",1657,0,3.730839
"1410","ST. LOUIS - SCHNUCK MARKETS",9612,0.24,2.818144
"1411","DALLAS/FT. WORTH - ALBERTSONS",3000,0,3.205333
"1412","DALLAS/FT. WORTH - KROGER CO",2214,0,3.735772
"1413","DALLAS/FT. WORTH - TOM THUMB",1899,0,2.666667
"1414","DALLAS/FT. WORTH - WINN DIXIE",2292,0.146503602,2.506981
"1415","BOSTON - SHAWS",2702,0,2.443745
"1416","BOSTON - STAR MARKET",500,0,3.12
"1417","BOSTON - STOP & SHOP",1641,0,2.596587
"1418","SAN FRANCISCO - LUCKY",7385,0.123986979,3.551659
"1419","TAMPA/ST. PETE - KASH N KARRY",4125,0,2.644606
"1420","TAMPA/ST. PETE - PUBLIX",4134,0.0133426,2.791485
"1421","TAMPA/ST. PETE - WINN DIXIE",4314,0,2.761011
"1422","DENVER - KING SOOPERS INC",3792,0,3.508966
"1423","PHILADELPHIA - ACME MARKET",2531,0,3.710786
"1424","ATLANTA - KROGER CO",4035,0,3.144486
"1425","ATLANTA - WINN DIXIE",2613,0,2.693456
"1426","CINCINNATI - KROGER CO",3387,0.298,3.052259
"1427","INDIANAPOLIS - KROGER CO",3581,0.239,2.653449
"1428","OKLAHOMA CITY - HOMELAND",1043,0,3.237776
"1429","SACRAMENTO - RALEYS",1487,0.348,3.739072
"1430","SAN DIEGO - LUCKY",5656,0.165,3.015382
"1431","SAN DIEGO - RALPHS",2329,0.456,3.053671
"1432","SALT LAKE CITY - SMITHS FOOD",1424,0.396,2.974017
"1433","PHOENIX - SAFEWAY",2323,0.175,2.653896
"1434","PHOENIX - FRY'S FOOD STORE",4677,0,2.573017
"1435","PHOENIX - SMITHS FOOD",1099,0.187,3.320291
"1436","MIAMI - PUBLIX",9074,0.038611602,2.772096
"1437","MIAMI - WINN DIXIE",8662,0,2.512237
"1438","NASHVILLE - KROGER CO",2595,0.409,2.912909
"1439","RALEIGH/GREENSBORO - WINN DIXIE",2879,0.013976047,2.450851
"1440","RALEIGH/GREENSBORO - FOOD LION",4341,0,2.582585
"1441","ALBANY,NY - PRICE CHOPPER",1513,0.091,2.386649
"1442","BALTI/WASH - GIANT FOOD INC",3171,0,3.798802
"1443","BALTI/WASH - SAFEWAY",2781,0,4.121179
"1444","BALTI/WASH - SUPER FRESH",907,0,3.90849
"1445","MILWAUKEE - KOHLS FOOD STORE",1064,0,3.048872
"1446","NEW ORLEANS - WINN DIXIE",4002,0,2.681409
"1447","BUFFALO/ROCHESTER - TOPS MARKETS",2027,0.099,3.233843
"1448","BUFFALO/ROCHESTER - WEGMANS",2235,0.037666667,3.346309
"1449","CHARLOTTE - BI LO",1863,0.284,2.386473
"1450","CHARLOTTE - HARRIS TEETER",1790,0,2.486034
"1451","CHARLOTTE - WINN DIXIE",2852,0.039441441,2.3331
"1452","CHARLOTTE - FOOD LION",4146,0.004298246,2.462856
"1453","HARTFORD - STOP & SHOP",1361,0,3.329904
"1454","JACKSONVILLE,FL - PUBLIX",1598,0,2.517522
"1455","JACKSONVILLE,FL - WINN DIXIE",3828,0,2.422936
"1456","JACKSONVILLE,FL - FOOD LION",1329,0.18,2.467269
"1457","LOUISVILLE - KROGER CO",2303,0.048991071,2.723404
"1458","LOUISVILLE - WINN DIXIE",1742,0.262,2.600459
"1459","RICHMOND/NORFOLK - FOOD LION",5246,0.018965241,2.471216
"1460","RICHMOND/NORFOLK - NEW FARM FRESH",2085,0,2.6753
"1461","COLUMBUS,OH - BIG BEAR",1793,0.0695,3.08812
"1462","COLUMBUS,OH - KROGER CO",2149,0.14,3.187064
"1463","LITTLE ROCK - HARVEST FOODS",2855,0.169876068,2.65324
"1464","WICHITA - DILLON COMPANIES",949,0.232,3.41412
"1465","SOUTH CAROLINA - BI LO",7906,0.496,2.386542
"1466","SOUTH CAROLINA - FOOD LION",3875,0,2.438452
"1467","SOUTH CAROLINA - WINN DIXIE",3199,0,2.386683
"1468","ORLANDO,FL - PUBLIX",4610,0,2.458134
"1469","ORLANDO,FL - WINN DIXIE",5128,0.112843511,2.63319
"1470","ORLANDO,FL - FOOD LION",1100,0.054176688,2.553636
"1471","SYRACUSE - P & C FOOD MARKE",386,0,3.313472
"1472","SYRACUSE - PRICE CHOPPER",1754,0.382,2.368301
"1473","SYRACUSE - WEGMANS",625,0.243333333,3.4464
"1474","NEW ENGLAND (NORTH) - SHOP N SAVE",7527,0.599,1.986582
"1475","SAN ANT/CORPUS CHR - H E BUTT",14084,0.113,3.053394
"1476","BIRMINGHAM/MONTGOM - BRUNOS",9861,0.18534104,2.300071
"1477","BIRMINGHAM/MONTGOM - KROGER",1550,0.095,2.601935
"1478","BIRMINGHAM/MONTGOM - WINN DIXIE",4373,0,2.352847
"1479","HARRISBURG/SCRANTN - GIANT FOOD STO",1090,0.077,2.519266
"1480","NEW YORK (NEW) - A & P",5566,0,3.504492
"1481","NEW YORK (NEW) - PATHMARK",2807,0,4.386534
"1482","NEW YORK (NEW) - WALDBAUMS",1217,0,3.251438
"1483","ROANOKE (NEW) - FOOD LION",2671,0.045916624,2.448896
"1484","ROANOKE (NEW) - KROGER CO",3461,0.003974159,2.468073
"1485","LOS ANGELES - LUCKY",11499,0.0415,2.921906
"1486","LOS ANGELES - RALPHS",6397,0.378,3.053306
"1487","LOS ANGELES - VONS",5645,0,3.660762
"1488","CHICAGO - DOMINICK",4825,0,3.254301
"1489","CHICAGO - JEWEL",12508,0,3.28158
"1490","CHICAGO - OMNI",3479,0,2.726646
"1491","HOUSTON - KROGER CO",12107,0.039863479,2.451144
"1492","HOUSTON - RANDALLS",2970,0,3.674747
"1493","PITTSBURGH - GIANT EAGLE",3125,0.053,2.23168
"1494","DETROIT - FARMER JACKS",2730,0.037025641,3.395604
"1495","DETROIT - KROGER CO",5144,0,2.715785
"1496","CLEVELAND - STOP N SHOP",2938,0.019567374,2.952689
"1497","ST. LOUIS - NATIONAL SUPER",1766,0,3.650623
"1498","ST. LOUIS - SCHNUCK MARKETS",4730,0.08,3.319873
"1499","DALLAS/FT. WORTH - ALBERTSONS",2992,0,3.187166
"1500","DALLAS/FT. WORTH - KROGER CO",1519,0,3.731402
"1501","DALLAS/FT. WORTH - TOM THUMB",6038,0,2.666777
"1502","DALLAS/FT. WORTH - WINN DIXIE",1954,0.316,2.506653
"1503","BOSTON - SHAWS",3136,0,2.446429
"1504","BOSTON - STAR MARKET",669,0,3.127055
"1505","BOSTON - STOP & SHOP",3653,0,2.386258
"1506","SAN FRANCISCO - LUCKY",10417,0.120333333,2.822118
"1507","TAMPA/ST. PETE - KASH N KARRY",3867,0,2.651927
"1508","TAMPA/ST. PETE - PUBLIX",3892,0,2.982528
"1509","TAMPA/ST. PETE - WINN DIXIE",4172,0,2.767498
